Comment,Description,Designator,Footprint,LibRef,Quantity,MP
,,,,,,
5010,"KEYSTONE - 5010 - TEST POINT, PCB, THROUGH HOLE","B1, B2, B3, B4, B5, B6, B9, B10, B11, B12, B13",5010,5010,11,5010
TL3301AF160QG,,"BUTTON1, BUTTON2",TL3301AF160QG,CON4AP_0,2,TL3301AF160QG
4.7uF/25V,,"C1, C2, C3, C4, C5, C6",Cap_0805,CAP_0805,6, KAM15AR71H104KM
100nF/50v,KAM15AR71H104KM,C7,Cap_0603,CAP_0603,1, KAM15AR71H104KM
1uF/50v,UMK107AB7105KA-T,C8,Cap_0603,CAP_0603,1,UMK107AB7105KA-T
4.7uF/25V,TMK212AB7475KG-T,"C9, C10, C11",Cap_0805,CAP_0805,3,TMK212AB7475KG-T
1uF/25V,MCAST21GSB7105MTNB25,C12,Cap_0805,CAP_0805,1,MCAST21GSB7105MTNB25
1uF,GRT188R61H105KE13D,"C13, C14",Cap_0603,CAP_0603,2,GRT188R61H105KE13D
22nF,GCM188R71H223KA37J,C15,Cap_0603,CAP_0603,1,GCM188R71H223KA37J
0.1uF,"[NoValue], GCM188R71H104KA57J","C16, C17",Cap_0603,CAP_0603,2,GCM188R71H104KA57J
22uF,810-C2012X5R1V226MAC,C18,Cap_0805,CAP_0805,1,C2012X5R1V226M125AC
1uF/16V,"[NoValue], GRT188R71C105KE13D","C19, C23",Cap_0603,CAP NP_Dup2,2,GRT188R71C105KE13D
10uF/25V,"[NoValue], GRM188R61E106MA73J","C20, C22",Cap_0603,CAP NP_Dup2,2,GRM188R61E106MA73J
0.1uF/50V,,C21,Cap_0603,CAP NP_Dup2,1,GCM188R71H104KA57J
10uF/16V,C54,C24,Cap_0603,CAP_0603,1,GRM188R61C106MAALD
100uF/6.3V,GRM21BR60J107ME15K,C25,Cap_0805,CAP_0805,1,GRM21BR60J107ME15K
,"Schottky Barrier Rectifier, 40 V Maximum DC Blocking Voltage, -65 to 125 degC, 2-Pin SMA Case, RoHS","D1, D2, D3",ON_Semi_SOD-123F_0,Schottky Diode,3,CDRH2D18/LDNP-470NC
SS34,Diode Schottky 40 V 3A Surface Mount SMC (DO-214AB),D4,DIOM7959X265N,SS34,1,SS34
LTST-C190KRKT,Red 626nm LED Indication - Discrete 2.1V 0603 _1608 Metric_,D5,LEDM1608X80,HSMS-C190,1,LTST-C190KRKT
TPD4E02B04DQAR,4-channel ESD protection diode for USB Type-C and HDMI 2.0 10-USON -40 to 125,D6,DIO_TPD4E02B04DQAR,TPD4E02B04DQAR,1,TPD4E02B04DQAR
AYF532435,"24 Position FFC, FPC Connector Contacts, Top and Bottom 0.020 (0.50mm) Surface Mount, Right Angle",J1,PANASONIC_AYF532435,AYF532435,1,AYF532435
USB4105-GF-A,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",J2,GCT_USB4105-GF-A,USB4105-GF-A,1,USB4105-GF-A
CDRH2D18/LDNP-470NC,Power Inductors - SMD 47uH 0.48A 530ohms,L1,IND_CDRH2D18/HPNP-1R1NC,CDRH2D18/HPNP-1R1NC,1,CDRH2D18/LDNP-470NC
Header 5,"Header, 5-Pin",P1,HDR1X5,Header 5,1,
Header 6,"Header, 6-Pin",P2,HDR1X6,Header 6,1,
SI1308EDL-T1-GE3,"N-Channel 30V 1.4A (Tc) 400mW (Ta), 500mW (Tc) Surface Mount SC-70-3",Q1,SOT65P210X110-3N,SI1308EDL-T1-GE3,1,SI1308EDL-T1-GE3
 MMS8050-H-TP,Bipolar (BJT) Transistor NPN 30 V 600 mA 250MHz 300 mW Surface Mount SOT-23-3 (TO-236),Q2,SOT23-BEC,MMBT2222*,1,MMS8050-H-TP
KSC3265YMTF,Bipolar Transistors - BJT NPN Epitaxial Transistor,"Q3, Q4",KSC3265YMTF,KSC3265YMTF,2,KSC3265YMTF
10k,AC0603FR-0710KL,R1,RES_0805,RES_0805,1,AC0603FR-0710KL
2.2ohm,CRCW08052R20FKEAHP,R2,RES_0805,RES_0805,1,CRCW08052R20FKEAHP
0,"AC0603FR-070RL, [NoValue]","R3, R13, R16, R18, R27",RES_0603,RES_0603,5,AC0603FR-070RL
100k,AC0603FR-07100KL,"R4, R9",RES_0603,RES_0603,2,AC0603FR-07100KL
1k,AC0603FR-071KL,"R5, R6",RES_0603,RES_0603,2,AC0603FR-071KL
47k,"RC0603FR-0747KL, [NoValue]","R7, R8",RES_0603,RES_0603,2,RC0603FR-0747KL
4.7K,71-CRCW0402-4.7K-E3,"R10, R11",RES_0402,RES_0402,2,CRCW04024K70FKED
10K,,"R12, R15, R17",R0402,R_Dup2,3,RP0402DRE0710KL
50,,R14,RES_0603,RES_0603,1,RT0603BRE0750RL
0R,,"R21, R22, R29, R30",R0402,R_Dup2,4,MCS04020Z0000ZE000
10K,,R23,R0402,R_Dup2,1,RP0402BRD0710KL
1k,,R24,R0402,R_Dup2,1,RP0402BRD071KL
22K,RT0402BRC0722KL,R25,R0402,R_Dup2,1,RT0402BRC0722KL
47.5K(1%),AF0402FR-0747K5L,R26,R0402,R_Dup2,1,AF0402FR-0747K5L
NC/0R,RC0805JR-070RL,R28,RES_0805,RES_0805,1,RC0805JR-070RL
SI2301CDS-T1-E3,P-Channel 30 V 4A (Ta) 1.4W (Ta) Surface Mount SOT-23-3,U1,SOT23-3,AO3401,1,SI2301CDS-T1-E3
RT9193-33GB,Linear Voltage Regulator IC Positive Fixed 1 Output 300mA TSOT-23-5,U2,SOT94P279X129-5N,RT9193-33GB,1,RT9193-33GB
TXS0108ERGYR,8-bit bidirectional voltage-level shifter for open-drain and push-pull application 20-VQFN -40 to 85,U3,IC_TXS0108ERGYR,TXS0108ERGYR,1,TXS0108ERGYR
ESP32-C3-WROOM-02-N4,"WiFi Modules (802.11) (Engineering Samples) SMD module, ESP32-C3, 4MB SPI flash, PCB antenna, -40 C +85 C",U4,MODULE_ESP32-C3-WROOM-02-H4,ESP32-C3-WROOM-02-N4,1,ESP32-C3-WROOM-02-N4
CP2102N-A02-GQFN28,USB Interface IC USBXpress - USB to UART Bridge,U5,CP2102N-A02-GQFN28,CP2102N-A02-GQFN28,1,CP2102N-A02-GQFN28
ZLDO1117QG33TA,"A low dropout, high speed, positive adjustable or fixed-mode (3.3V)
regulator with 1A output current capability.",U6,ZLDO1117QG33TA,ZLDO1117QG33TA,1,ZLDO1117QG33TA
